date,site name,eta,salt,temp,DIN,DIP,Dust,PH,Oxygen,Chl,TOTAL_COTS,MEAN_COTS_PER_TOW,TOWS,current_speed,wind_speed
2011,AGINCOURT REEFS (NO 1),0.022343,34.74136,26.68194,0.426325,0.188167,0.000052,8.071683,6754.326266,0.239113,0,0,32,0.09991688006538235,6.076059739339303
2012,AGINCOURT REEFS (NO 1),0.012564,34.990827,26.617991,0.395379,0.0463,0.000012,8.073985,6894.291095,0.176343,0,0,37,0.0795265553258784,6.278675909032493
2013,AGINCOURT REEFS (NO 1),0.011034,35.214178,26.893769,0.590562,0.059227,0.000012,8.0657,6864.172801,0.204316,0,0,33,0.06014808117471413,6.15675287029819
2014,AGINCOURT REEFS (NO 1),0.03171,35.169656,26.468295,0.695033,0.061183,0.000009,8.068456,6717.973481,0.1964,0,0,37,0.0788799903968047,6.747308940986769
2015,AGINCOURT REEFS (NO 1),0.003328,35.246221,26.656974,0.779841,0.072827,0.000003,8.061575,6620.977727,0.179869,0,0,34,0.08238744033528411,6.4143884771392665
2016,AGINCOURT REEFS (NO 1),0.01994,35.304469,27.471754,0.731586,0.040417,0.000003,8.050778,6632.819395,0.145391,0,0,31,0.05547049314725803,5.717753917129522
2017,AGINCOURT REEFS (NO 1),0.00862,35.200904,27.034341,1.197234,0.109493,0.000006,8.066778,6768.187771,0.21855,0,0,39,0.08880406536865303,6.424263047706094
2018,AGINCOURT REEFS (NO 1),0.021343,35.101119,26.715693,1.020272,0.124913,0.000007,8.067717,6782.735341,0.247718,0,0,32,0.06710267256227578,5.93281539937364
2011,BROOMFIELD REEF,-0.187545,35.189781,23.936612,2.10501,3.318957,0.000072,8.106701,7186.215746,1.244577,0,0,48,0.08285502549031049,4.970406509874419
2012,BROOMFIELD REEF,-0.222368,35.481146,23.698486,0.938955,0.850695,0.000032,8.11498,7149.115878,0.86169,0,0,66,0.0706638295381732,4.684206338916551
2013,BROOMFIELD REEF,-0.199487,35.45494,24.271409,1.62919,0.507827,0.000062,8.104402,7015.101537,0.874803,0,0,55,0.06247105083156517,4.188802277584608
2014,BROOMFIELD REEF,-0.20471,35.686473,24.030773,1.257789,0.37879,0.000039,8.098608,6886.865076,0.866556,0,0,43,0.06588055811087214,4.804534252820038
2015,BROOMFIELD REEF,-0.225027,35.745278,24.522353,1.006391,0.273795,0.000008,8.099045,6861.657006,0.751625,0,0,46,0.07169150293444823,4.838809710738479
2016,BROOMFIELD REEF,-0.197466,35.754756,24.468598,1.315998,0.269401,0.000016,8.08577,6801.00461,0.67439,0,0,51,0.06444416557765334,4.308053327866079
2017,BROOMFIELD REEF,-0.19993,35.683526,24.74091,2.475563,0.509027,0.000047,8.086419,6831.719535,0.874496,0,0,47,0.05606232603094524,4.37210854232989
